Country,Subscribers,Uploads,Channels
Total geral,7154.4,17506.93,98
US,2241.8,8460.17,27
IN,2175.6,3955.99,28
N.A.,473.6,0.0,4
KR,324.3,611.51,4
BR,256.7,929.07,5
MX,210.2,342.11,4
AE,164.0,22.27,3
JP,156.3,8.0,2
AR,123.0,2.83,2
