Country,Subscribers,Uploads,Channels
NO,46.2,676.0,1
CO,47.3,362.0,1
PR,48.5,157.0,1
TR,49.9,2.92,1
PH,50.8,234.89,1
CL,51.9,2.26,1
ES,53.4,2.07,1
GB,55.6,538.0,1
IT,55.9,1.14,1
PT,71.7,80.0,1
CA,74.4,249.0,1
SV,94.1,548.83,2
ID,100.3,7.7,2
RU,106.1,5.48,2
PK,122.8,307.69,2
AR,123.0,2.83,2
JP,156.3,8.0,2
AE,164.0,22.27,3
MX,210.2,342.11,4
BR,256.7,929.07,5
KR,324.3,611.51,4
N.A.,473.6,0.0,4
IN,2175.6,3955.99,28
US,2241.8,8460.17,27
Total geral,7154.4,17506.93,98
